platform,ingest_nodes_sec,ingest_rels_sec,ingest_time_s,hop1_p50_ms,hop1_p95_ms,hop2_p50_ms,hop2_p95_ms,hop3_p50_ms,hop3_p95_ms,lookup_point_p50_ms,lookup_range_p50_ms,agg_p50_ms,mixed_qps_c1,mixed_qps_c10,mixed_qps_c40,disk_mb,ram_mb
CognoDB Cloud,14230.0,22850.0,5.04,0.62,1.18,2.15,4.20,14.80,28.40,0.31,0.82,4.40,1850.0,8920.0,14400.0,14.2,48.0
Memgraph,12850.0,21100.0,5.47,0.48,0.92,1.94,3.80,16.10,31.20,0.26,0.74,3.85,2100.0,9800.0,13850.0,24.8,118.0
FalkorDB,11400.0,19650.0,5.90,0.71,1.35,1.68,3.15,11.20,21.80,0.38,0.95,4.90,1720.0,7400.0,10600.0,18.5,72.0
ArangoDB,9800.0,16400.0,7.05,1.42,2.95,4.80,9.70,42.50,86.40,0.58,1.48,12.80,950.0,3850.0,5120.0,38.6,142.0
Neo4j 5.x,5200.0,8950.0,12.95,1.85,4.10,6.42,14.80,68.30,142.00,0.85,2.10,18.50,680.0,2150.0,2410.0,56.4,245.0
